EVENT_ID,median_income,population_density,housing_units_density,duration,weekend,sin_time,cos_time,sin_date,cos_date,casualties,tornado_intensity,tornado_area,average_range,minimum_range,average_latitude,average_longitude,percent_land,multi_vortex
86902,46816.0,53.9,21.1,6.0,1,0.7235697791884493,0.6902512402344372,0.7638886127905428,-0.6453481132295501,0,0,320.0,3.0,1.0,33.8205,-81.729,0.9875863430037498,0
79485,64155.0,769.9,350.2,0.0,1,-0.6394390019805852,0.7688418320734591,0.7236440382959124,0.6901733882429719,0,0,0.0,1.0,1.0,29.37,-94.99,0.43300030899165726,0
86903,47394.0,149.5,67.5,6.0,1,0.7621036088037377,0.6474550868194021,0.7638886127905428,-0.6453481132295501,0,0,180.0,4.5,3.0,33.8015,-81.6785,0.9911438089950029,0
74130,42128.0,59.5,28.4,4.0,0,-0.8945446398380248,-0.4469786206711217,0.8919813464595485,0.45207220393230435,0,0,120.0,2.0,1.0,34.2077,-81.50835000000001,0.9733504302553724,0
74131,53421.0,139.6,59.5,3.0,0,-0.915662593339561,-0.4019477766559603,0.8919813464595485,0.45207220393230435,0,0,40.0,4.5,4.0,34.59,-80.83500000000001,0.9892635826487965,0
74133,47394.0,149.5,67.5,12.0,0,-0.9518622607530478,0.3065260780979277,0.8919813464595485,0.45207220393230435,0,0,1200.0,2.5,0.0,33.521150000000006,-81.57515000000001,0.9911438089950029,0
139351,53661.0,48.4,26.5,2.0,0,-0.9228745046891547,0.38510082912757726,-0.17976658572556214,-0.9837092937736098,0,0,0.0,2.0,2.0,45.32,-92.32165,0.955615269601949,0
96090,51993.0,295.2,119.4,1.0,0,-0.9903891431021473,-0.13830887616271936,0.9106046300942163,-0.4132786077829042,0,0,0.0,3.0,3.0,30.882800000000003,-97.457,0.9661531107515812,0
139759,49473.03165642418,170.1744019481447,73.23561810628873,1.0,0,0.9987631275635946,-0.04972137386865781,-0.35367612217637207,0.935367949313148,0,0,0.0,1.0,1.0,32.25165,-93.45775,0.9636738180410185,0
146347,38060.0,45.7,22.5,1.0,1,0.657375245794096,-0.7535633923016377,-0.05161966722325418,0.9986668162884759,0,0,0.0,1.0,1.0,36.881299999999996,-94.01419999999999,0.9839184798412076,0
146348,37594.0,42.8,18.4,1.0,1,0.6768759696826611,-0.736097087119734,-0.05161966722325418,0.9986668162884759,0,0,0.0,2.0,2.0,36.6456,-94.1918,0.9996294100207531,0
147561,56833.0,83.9,33.5,2.0,1,0.23344536385590553,-0.9723699203976766,-0.05161966722325418,0.9986668162884759,0,0,40.0,1.0,1.0,39.05515,-90.9969,0.9782968491396807,0
147566,51130.0,78.5,34.9,3.0,1,0.4305110968082951,-0.9025852843498606,-0.05161966722325418,0.9986668162884759,0,0,0.0,3.0,3.0,39.9109,-91.12535,0.9814768058392821,0
147568,51130.0,78.5,34.9,2.0,1,0.4234090034652327,-0.9059386379797357,-0.05161966722325418,0.9986668162884759,0,0,0.0,3.0,3.0,39.910399999999996,-91.0745,0.9814768058392821,0
129379,83304.0,204.4,74.8,11.0,1,-0.2764761098339806,-0.9610207909775255,-0.3131070409358267,-0.9497178427914317,0,0,400.0,4.0,4.0,45.38035,-93.8004,0.9598261794962752,0
147545,51564.0,21.6,11.0,4.0,1,0.4931829011339657,-0.8699256439656696,-0.05161966722325418,0.9986668162884759,0,0,200.0,3.5,3.0,39.57215,-91.50229999999999,0.9709608746873902,0
72618,29266.0,19.7,8.7,5.0,0,0.18995229151168483,-0.9817933219112156,0.1712931441814776,0.9852201067560606,0,0,750.0,3.0,2.0,32.0856,-90.77709999999999,0.9724860335195531,0
73274,62284.0,182.6,72.8,2.0,0,-0.10192445579504979,-0.9947921417617265,0.1712931441814776,0.9852201067560606,0,0,40.0,1.5,1.0,32.439099999999996,-89.94045,0.9620265727152055,0
86909,47394.0,149.5,67.5,2.0,1,0.9003187714021935,0.4352310993723275,0.7638886127905428,-0.6453481132295501,0,0,0.0,3.0,3.0,33.804500000000004,-81.61450000000002,0.9911438089950029,0
147550,51564.0,21.6,11.0,2.0,1,0.4840461860617835,-0.8750424502611523,-0.05161966722325418,0.9986668162884759,0,0,0.0,4.0,4.0,39.67145,-91.4137,0.9709608746873902,0
72430,51904.0,46.3,16.6,0.0,0,-0.5814131843198305,-0.813608449500787,0.8311706263658079,0.5560174366570446,0,0,0.0,2.0,2.0,30.24,-82.2,0.9936499312358864,0
147044,63059.0,492.1,198.9,4.0,0,-0.7933533402912349,-0.6087614290087209,-0.32126966169236515,0.9469877530760751,0,0,60.0,2.0,1.0,35.48115,-80.44470000000001,0.9925643417659002,0
72409,45294.0,282.7,128.9,0.0,0,-0.33380685923377096,-0.9426414910921784,0.8311706263658079,0.5560174366570446,0,0,0.0,1.0,1.0,29.79,-82.17,0.9031905120715105,0
139425,35561.0,53.1,25.4,6.0,1,0.9025852843498605,0.43051109680829525,-0.6994583270516471,0.7146733860429609,0,0,50.0,2.0,2.0,35.831500000000005,-77.2842,0.9993716279170549,0
83637,49473.03165642418,170.1744019481447,73.23561810628873,3.0,0,-0.2638730499653726,-0.9645574184577982,0.6744436188329455,0.7383263540031065,0,0,0.0,3.0,3.0,30.08095,-91.82815,0.9636738180410185,0
83638,49473.03165642418,170.1744019481447,73.23561810628873,2.0,0,-0.2990407922560867,-0.9542403285162768,0.6744436188329455,0.7383263540031065,0,0,0.0,0.0,0.0,30.0301,-91.87854999999999,0.9636738180410185,0
74657,37675.0,41.6,18.3,0.0,0,0.4375866341990185,-0.8991762550080904,0.9141279881853337,0.40542572835999735,0,0,0.0,1.0,1.0,31.23,-81.94,0.9891771019677997,0
132863,40523.0,89.6,40.4,2.0,0,0.9510565162951536,-0.30901699437494734,-0.8165380514459157,-0.5772916165517278,0,0,0.0,1.0,1.0,31.5783,-85.59505000000001,0.9972454238492979,0
132864,42910.0,175.1,78.2,1.0,0,-0.9976842788356053,0.06801529066524818,-0.8165380514459157,-0.5772916165517278,0,0,0.0,2.0,2.0,31.12495,-85.08064999999999,0.9968537780452164,0
134181,43453.0,24.7,11.1,1.0,1,-0.9735789028731603,-0.2283508701106558,-0.7961828637826154,-0.6050560696488494,0,0,0.0,1.0,1.0,30.416249999999998,-83.92949999999999,0.9396110220881643,0
134195,37358.0,54.2,22.9,1.0,0,-0.8980275757606155,-0.43993916985591536,-0.8165380514459157,-0.5772916165517278,0,0,0.0,3.0,3.0,30.8826,-85.3588,0.96144820650352,0
74686,42017.0,46.9,19.0,5.0,0,0.45399049973954686,-0.8910065241883678,0.9141279881853337,0.40542572835999735,0,0,0.0,2.0,2.0,31.40635,-81.68675,0.9891800246609125,0
79622,48593.0,29.4,15.8,1.0,0,-0.9238795325112866,0.38268343236509,0.1202080448993527,0.9927487224577402,0,0,0.0,3.0,3.0,38.389849999999996,-91.63575,0.9873388757531841,0
81042,45698.0,68.9,32.0,1.0,0,-0.9995065603657316,0.03141075907812793,0.5808002734538009,0.8140460935082178,0,0,0.0,2.5,2.0,38.50685,-88.99520000000001,0.9936115547531422,0
107656,49473.03165642418,170.1744019481447,73.23561810628873,1.0,0,0.9855560590580777,0.16934950384902453,0.717676913675962,-0.6963762255968722,0,0,0.0,3.0,3.0,30.1646,-92.04769999999999,0.9636738180410185,0
107660,49473.03165642418,170.1744019481447,73.23561810628873,6.0,0,0.9855560590580777,0.16934950384902453,0.717676913675962,-0.6963762255968722,0,0,250.0,2.0,1.0,29.89085,-92.16945,0.9636738180410185,0
107561,54665.0,43.1,18.5,1.0,0,-0.999914327574007,0.01308959557134433,0.5307300481619334,-0.8475409228928311,0,0,0.0,3.0,3.0,43.02,-97.23,0.9792191199128178,0
107593,42171.0,33.6,13.7,5.0,0,-0.9996573249755573,0.02617694830787223,0.5307300481619334,-0.8475409228928311,0,0,200.0,2.5,2.0,43.0325,-97.136,0.9878966542038156,0
107667,49473.03165642418,170.1744019481447,73.23561810628873,2.0,0,0.9876883405951378,0.15643446504023092,0.717676913675962,-0.6963762255968722,0,0,0.0,1.0,1.0,30.2059,-92.01335,0.9636738180410185,0
107609,42171.0,33.6,13.7,4.0,0,-0.9990097760809875,0.044491204688288495,0.5307300481619334,-0.8475409228928311,0,0,100.0,2.5,2.0,43.05200000000001,-97.088,0.9878966542038156,0
105948,48453.0,2.6,1.3,1.0,0,-0.33380685923377096,-0.9426414910921784,0.42500033996955416,-0.9051931898913974,0,0,25.0,10.0,10.0,38.8177,-101.3014,0.999897493243873,0
105950,48453.0,2.6,1.3,1.0,0,-0.3608108264876418,-0.9326390231430941,0.42500033996955416,-0.9051931898913974,0,0,25.0,3.0,3.0,38.8799,-101.1914,0.999897493243873,0
105952,51445.0,2.5,1.3,1.0,0,-0.5291790009741908,-0.8485102149815036,0.42500033996955416,-0.9051931898913974,0,0,25.0,11.0,11.0,38.7908,-100.48,0.9999066955288498,0
107621,44909.0,38.0,17.9,1.0,0,0.7071067811865475,0.7071067811865476,0.717676913675962,-0.6963762255968722,0,0,0.0,3.0,3.0,30.409,-93.93095,0.9681860369186346,0
107638,49473.03165642418,170.1744019481447,73.23561810628873,1.0,0,0.7518398074789773,0.659345815100069,0.717676913675962,-0.6963762255968722,0,0,0.0,5.0,5.0,30.75255,-93.24010000000001,0.9636738180410185,0
107639,49473.03165642418,170.1744019481447,73.23561810628873,1.0,0,0.9735789028731602,0.22835087011065588,0.717676913675962,-0.6963762255968722,0,0,0.0,5.5,5.0,29.96815,-92.58080000000001,0.9636738180410185,0
106586,55375.0,16.2,7.5,1.0,0,-0.9624552364536474,0.2714404498650739,0.8631421280499114,-0.5049610547215204,0,0,0.0,1.0,1.0,43.33,-95.79,0.9982222889907109,0
106602,48889.0,12.5,5.2,1.0,0,-0.9741733869698492,-0.2258012668691039,0.5307300481619334,-0.8475409228928311,0,0,0.0,4.0,4.0,42.92,-97.85,0.9691228552762784,0
98823,46192.0,65.5,32.3,3.0,0,-0.866025403784439,0.49999999999999933,0.7961828637826158,-0.6050560696488488,0,0,0.0,1.0,1.0,36.939,-79.50445,0.9905538857878919,0
104605,49860.0,2.9,1.4,2.0,0,-0.918791210148898,-0.3947438563842679,0.5307300481619334,-0.8475409228928311,0,0,0.0,9.0,9.0,39.2197,-100.43,0.9997210475223441,0
106592,42224.0,2.9,1.7,35.0,0,-0.8788171126619653,-0.4771587602596087,0.6152845999633276,-0.7883050558305255,0,0,5600.0,7.0,5.0,39.37895,-100.17,0.9997440890125173,0
124183,45939.0,181.1,78.0,5.0,0,0.18223552549214772,-0.9832549075639545,-0.8359254794186365,-0.5488429582847199,0,0,0.0,1.0,1.0,35.82,-79.8,0.9913473110787356,0
124184,55174.0,213.4,85.5,2.0,0,-0.11493715049286643,-0.9933727656003964,-0.8359254794186365,-0.5488429582847199,0,0,0.0,2.0,2.0,35.71,-78.33,0.9947203016970458,0
124185,41352.0,220.6,96.5,5.0,0,-0.13052619222005177,-0.9914448613738104,-0.8359254794186365,-0.5488429582847199,0,0,200.0,2.0,2.0,35.76,-78.015,0.9851229497230621,0
124187,63303.0,93.1,42.1,5.0,0,-0.7217602280983622,-0.6921431738704069,-0.8359254794186365,-0.5488429582847199,0,0,200.0,1.0,1.0,35.79,-79.4,0.9610610991364129,0
137990,50716.0,202.4,96.6,2.0,1,-0.1434926219911791,-0.9896513868196702,-0.49377555015997737,0.8695893893466109,0,0,0.0,5.0,5.0,28.33345,-81.58785,0.8814935819537688,0
137991,51214.0,535.0,265.7,2.0,1,-0.7688418320734591,-0.6394390019805851,-0.49377555015997737,0.8695893893466109,0,0,0.0,4.0,4.0,28.000300000000003,-80.63804999999999,0.6523185613359024,0
103685,51445.0,2.5,1.3,12.0,0,-0.7431448254773944,-0.6691306063588581,0.6152845999633276,-0.7883050558305255,0,0,1600.0,4.0,3.0,39.04585,-100.29675,0.9999066955288498,0
142839,58135.0,3.3,1.5,10.0,0,-0.74837719060466,-0.6632733829897566,-0.7583058084785625,0.6518989958787125,0,0,400.0,3.0,2.0,37.6112,-101.77529999999999,0.9999118178745169,0
103689,51445.0,2.5,1.3,1.0,0,-0.7107994738729921,-0.7033947028105042,0.6152845999633276,-0.7883050558305255,0,0,0.0,9.0,9.0,38.89295,-100.3354,0.9999066955288498,0
103695,51445.0,2.5,1.3,5.0,0,-0.7671651518152993,-0.6414496315691581,0.6152845999633276,-0.7883050558305255,0,0,200.0,3.5,3.0,39.12179999999999,-100.23400000000001,0.9999066955288498,0
103698,49860.0,2.9,1.4,8.0,0,-0.7754957431722342,-0.631352795449378,0.6152845999633276,-0.7883050558305255,0,0,600.0,13.5,12.0,39.15425,-100.2167,0.9997210475223441,0
103777,55336.0,3.1,1.5,1.0,0,-0.999914327574007,0.01308959557134433,0.6152845999633276,-0.7883050558305255,0,0,0.0,3.0,3.0,38.4966,-101.4013,0.9999721677173353,0
103778,49860.0,2.9,1.4,9.0,0,-0.9921147013144779,-0.12533323356430373,0.6152845999633276,-0.7883050558305255,0,0,3000.0,7.0,5.0,39.24865,-100.17,0.9997210475223441,0
142062,41352.0,220.6,96.5,4.0,0,0.0026179908874179934,0.9999965730559848,-0.8452490573530633,-0.5343725582809785,0,0,100.0,2.5,2.0,35.59765,-77.9308,0.9851229497230621,0
100157,40349.0,21.0,9.5,1.0,0,-0.9452341037968683,0.32639315099942134,0.741222010848596,-0.6712599575675313,0,0,0.0,1.0,1.0,37.47005,-94.58975000000001,0.9919560262769808,0
135224,29266.0,19.7,8.7,1.0,1,-0.38510082912757776,-0.9228745046891544,-0.9587178169872964,-0.2843591872810036,0,0,50.0,1.0,1.0,31.82395,-90.80645000000001,0.9724860335195531,0
103779,49860.0,2.9,1.4,10.0,0,-0.9992290362407229,0.039259815759068645,0.6152845999633276,-0.7883050558305255,0,0,2100.0,9.0,6.0,39.219899999999996,-100.26605,0.9997210475223441,0
103780,50558.0,1.0,0.5,1.0,0,-0.9059386379797361,-0.4234090034652319,0.6152845999633276,-0.7883050558305255,0,0,0.0,7.0,7.0,38.85,-102.0492,0.9982317576329128,0
108284,38540.0,2.3,0.9,1.0,1,-0.7396310949786097,-0.6730125135097733,0.6016240632249226,-0.7987793728863649,0,0,0.0,10.0,10.0,44.88065,-101.0988,0.9416058692665051,0
108317,38540.0,2.3,0.9,1.0,1,-0.7466381822853912,-0.665230354654361,0.6016240632249226,-0.7987793728863649,0,0,0.0,5.0,5.0,44.97945,-101.0264,0.9416058692665051,0
108347,38540.0,2.3,0.9,12.0,1,-0.7501110696304591,-0.6613118653236523,0.6016240632249226,-0.7987793728863649,0,0,800.0,3.5,2.0,44.98665,-100.98625,0.9416058692665051,0
98866,51431.0,44.9,20.8,1.0,0,-0.45399049973954697,0.8910065241883678,0.7961828637826158,-0.6050560696488488,0,0,0.0,1.5,1.0,37.3289,-78.69435,0.9962955217638096,0
95098,41370.0,67.8,29.5,7.0,0,0.1693495038490248,-0.9855560590580777,0.7961828637826158,-0.6050560696488488,0,0,1320.0,2.0,2.0,35.09455,-87.4697,0.9986083917215489,0
95117,43238.0,48.3,22.7,2.0,0,-0.1175373974578373,-0.9930684569549263,0.7961828637826158,-0.6050560696488488,0,0,0.0,2.5,2.0,35.1439,-86.94925,0.9996073105682544,0
82380,35010.0,36.6,18.3,9.0,1,-0.2990407922560867,-0.9542403285162768,0.7354170229639855,0.6776147890466889,0,0,1500.0,4.0,2.0,31.22205,-86.67320000000001,0.9872292319336265,0
105607,66605.0,43.9,16.0,1.0,0,-0.9930684569549262,-0.11753739745783848,0.8631421280499114,-0.5049610547215204,0,0,0.0,4.0,4.0,43.0391,-96.236,0.9991417313619163,0
105611,66605.0,43.9,16.0,17.0,0,-0.9942448326331054,-0.10713175431387427,0.8631421280499114,-0.5049610547215204,0,1,3200.0,5.0,4.0,43.1997,-96.33935,0.9991417313619163,0
105617,62496.0,19.7,8.2,1.0,0,-0.9969173337331281,0.07845909572784432,0.8631421280499114,-0.5049610547215204,0,0,0.0,2.0,2.0,43.28,-96.1902,0.9997788288135017,0
101643,49473.03165642418,170.1744019481447,73.23561810628873,12.0,0,0.8660254037844385,-0.5000000000000002,0.717676913675962,-0.6963762255968722,0,0,375.0,3.5,3.0,30.6075,-90.18764999999999,0.9636738180410185,0
105618,62496.0,19.7,8.2,1.0,0,-0.9933727656003964,0.11493715049286636,0.8631421280499114,-0.5049610547215204,0,0,0.0,2.0,2.0,43.35,-96.0398,0.9997788288135017,0
137979,50125.0,316.6,154.5,5.0,0,-0.866025403784439,0.49999999999999933,-0.680773409477016,-0.732494071613579,0,0,0.0,3.0,3.0,28.830750000000002,-81.77590000000001,0.8110738487069561,0
93464,38654.0,211.3,93.4,8.0,1,-0.9610207909775256,0.27647610983398013,0.9483615800121715,-0.3171912885891061,0,0,100.0,2.0,1.0,35.408,-81.49300000000001,0.99145755472504,0
98642,36091.0,31.6,14.4,16.0,0,-0.968583161128631,-0.2486898871648553,0.9536809966304457,-0.30081980763566735,1,0,4000.0,4.5,3.0,33.14085,-89.0239,0.9953285580815945,0
93465,50714.0,262.7,112.9,1.0,1,-0.9550199444571867,0.2965415749755707,0.9483615800121715,-0.3171912885891061,0,0,0.0,3.0,3.0,35.429,-81.45800000000001,0.9703621677957268,0
96071,50714.0,262.7,112.9,13.0,1,-0.950244253402386,0.3115057926840878,0.9483615800121715,-0.3171912885891061,0,0,120.0,1.5,1.0,35.4725,-81.31700000000001,0.9703621677957268,0
88558,40581.0,87.6,38.1,0.0,0,-0.984195607969242,-0.17708474031958307,0.9973249731081555,0.07309512989807777,0,0,0.0,0.0,0.0,35.55,-95.65,0.9650741860963586,0
88561,36903.0,32.7,21.6,2.0,0,-0.984195607969242,-0.17708474031958307,0.9973249731081555,0.07309512989807777,0,0,0.0,5.0,5.0,35.548950000000005,-95.64125,0.8683261031321513,0
101721,50558.0,1.0,0.5,7.0,0,-0.9048270524660194,-0.42577929156507294,0.19667288979357647,-0.980469160361632,0,0,0.0,6.0,6.0,38.7586,-102.4512,0.9982317576329128,0
101717,50558.0,1.0,0.5,1.0,0,-0.9092361090470685,-0.41628079226040127,0.19667288979357647,-0.980469160361632,0,0,0.0,4.0,4.0,38.7621,-102.35,0.9982317576329128,0
101722,50558.0,1.0,0.5,6.0,0,-0.9092361090470685,-0.41628079226040127,0.19667288979357647,-0.980469160361632,0,0,0.0,5.0,5.0,38.7688,-102.5957,0.9982317576329128,0
101725,48963.0,4.2,1.9,1.0,0,-0.7431448254773944,-0.6691306063588581,0.07738647923346301,-0.9970011699250151,0,0,0.0,3.0,3.0,40.1507,-102.7602,0.9981846582513616,0
98223,35644.0,40.8,16.1,2.0,0,-0.8886172326549485,-0.4586495544843156,0.9536809966304457,-0.30081980763566735,0,0,75.0,1.5,1.0,32.925650000000005,-89.57255,0.9957641593222655,0
98590,36091.0,31.6,14.4,7.0,0,-0.9135454576426005,-0.4067366430758009,0.9536809966304457,-0.30081980763566735,0,0,225.0,4.0,4.0,32.948949999999996,-89.30064999999999,0.9953285580815945,0
104303,49473.03165642418,170.1744019481447,73.23561810628873,2.0,0,-0.6108363346327698,-0.7917568896399974,0.854322169749827,-0.5197438121555155,0,0,0.0,5.0,5.0,30.5,-90.666,0.9636738180410185,0
